2022-04-30 00:59:21.373 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6ced6f58] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-30 00:59:23.157 [main] INFO  com.hznu.xdd.Xdd_Application - The following profiles are active: test
2022-04-30 00:59:26.306 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-04-30 00:59:26.319 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-04-30 00:59:26.543 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 181ms. Found 0 repository interfaces.
2022-04-30 00:59:27.658 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=f3b85089-343d-3cda-bf6d-69e460e6a9a5
2022-04-30 00:59:27.772 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: public static int com.hznu.xdd.config.AsyncTaskExecutePool.corePoolSize
2022-04-30 00:59:27.773 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: public static int com.hznu.xdd.config.AsyncTaskExecutePool.maxPoolSize
2022-04-30 00:59:27.773 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: public static int com.hznu.xdd.config.AsyncTaskExecutePool.keepAliveSeconds
2022-04-30 00:59:27.774 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - Autowired annotation is not supported on static fields: public static int com.hznu.xdd.config.AsyncTaskExecutePool.queueCapacity
2022-04-30 00:59:27.776 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'asyncTaskExecutePool' of type [com.hznu.xdd.config.AsyncTaskExecutePool$$EnhancerBySpringCGLIB$$9814d7de] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
